#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
               177 6.289776316387e-19 9.673172978667e-01 1.222078344473e-01 8.558394811217e-08 9.016311701819e-20 5.388145146205e-19 
               178 6.289774697504e-19 9.673169815651e-01 1.222103792455e-01 7.786677908278e-08 9.016337127722e-20 5.388140984732e-19 
               179 6.289773201251e-19 9.673162962776e-01 1.222158922696e-01 6.268472631604e-08 9.016402288777e-20 5.388132972374e-19 
               180 6.289772158559e-19 9.673157366614e-01 1.222203943670e-01 5.274147309950e-08 9.016438346473e-20 5.388128323911e-19 
               181 6.289764763878e-19 9.673104660616e-01 1.222627828615e-01 -2.589823802727e-08 9.016673438555e-20 5.388097420022e-19 
               182 6.289763538861e-19 9.673083265809e-01 1.222799657726e-01 -9.363138120785e-09 9.016430515575e-20 5.388120487304e-19 
               183 6.289770659047e-19 9.673068349318e-01 1.222919078277e-01 -5.192720859202e-09 9.016410672444e-20 5.388129591802e-19 
               184 6.289759510693e-19 9.673064083169e-01 1.222953194050e-01 -4.540501537556e-09 9.016298696404e-20 5.388129641053e-19 
               185 6.289758711053e-19 9.673059907254e-01 1.222986560001e-01 -3.972026813105e-09 9.016278550805e-20 5.388130855973e-19 
               186 6.289758262878e-19 9.673057156785e-01 1.223008527446e-01 -3.643256296105e-09 9.016266447353e-20 5.388131618142e-19 
               187 6.289757265345e-19 9.673049412625e-01 1.223070360176e-01 -2.792967858767e-09 9.016236130786e-20 5.388133652266e-19 
               188 6.289755761086e-19 9.673037673058e-01 1.223164021225e-01 -1.800646888876e-09 9.016194998139e-20 5.388136261272e-19 
               189 6.290139802107e-19 9.671365056951e-01 1.236411466396e-01 8.932635880497e-08 9.016780181270e-20 5.388461783980e-19 
               190 6.289601059961e-19 9.671362955935e-01 1.236425384235e-01 8.134885841601e-08 9.011607044979e-20 5.388440355463e-19 
               191 6.289593769795e-19 9.671360965961e-01 1.236438062846e-01 7.471750122267e-08 9.011675697803e-20 5.388426200015e-19 
               192 6.289593196423e-19 9.671358939094e-01 1.236450980040e-01 6.850649808776e-08 9.011807906545e-20 5.388412405769e-19 
               193 6.289591334397e-19 9.671348940387e-01 1.236514748914e-01 4.036794394140e-08 9.012440871409e-20 5.388347247256e-19 
               194 6.289590460739e-19 9.671342126316e-01 1.236558378160e-01 2.895132875897e-08 9.012781874700e-20 5.388312273269e-19 
               195 6.289589914352e-19 9.671330946750e-01 1.236630091092e-01 1.542323392557e-08 9.013268511216e-20 5.388263063231e-19 
               196 6.289588861041e-19 9.671327886197e-01 1.236649771035e-01 1.341356725990e-08 9.013369103674e-20 5.388251950674e-19 
               197 6.289588550745e-19 9.671324524781e-01 1.236671394367e-01 1.148731567870e-08 9.013479891037e-20 5.388240561641e-19 
               198 6.289588278256e-19 9.671321379257e-01 1.236691637373e-01 9.935720181668e-09 9.013578172087e-20 5.388230461047e-19 
               199 6.289580811084e-19 9.671189711343e-01 1.237538910769e-01 -4.650990132443e-08 9.017530519865e-20 5.387827759097e-19 
               200 6.289597245523e-19 9.671170412668e-01 1.237664866602e-01 -7.140787327255e-09 9.017107310302e-20 5.387886514493e-19 
               201 6.289583246577e-19 9.671167599523e-01 1.237683094862e-01 -6.217223598691e-09 9.016934394089e-20 5.387889807168e-19 
               202 6.289578445597e-19 9.671165731658e-01 1.237695185349e-01 -5.678508772417e-09 9.016865066076e-20 5.387891938989e-19 
               203 6.289578324721e-19 9.671163868055e-01 1.237707238379e-01 -5.185002668585e-09 9.016843013328e-20 5.387894023388e-19 
               204 6.289578180315e-19 9.671161569627e-01 1.237722097591e-01 -4.625950354568e-09 9.016816885899e-20 5.387896491726e-19 
               205 6.289563132465e-19 9.670786165729e-01 1.240145471437e-01 7.740181486846e-08 9.012818795300e-20 5.388281252935e-19 
               206 6.289565479750e-19 9.670739049773e-01 1.240424621005e-01 -9.334621560976e-08 9.016437520983e-20 5.387921727652e-19 
